dataset,label_name,true_label,image,top_concept,c_before,c_after,drop,l_drop,verdict,pred_before,pred_after,reg_before,reg_after,occlusion,file,original_file,occluded_file,where_file
BUSI,malignant,2,malignant (108).png,spiculated margins,0.0790,0.0787,0.0004,0.0000,PASS,Malignant,malignant,1.9938,2.0615,blur,busi_malignant_idx770_PASS.png,panels/busi_malignant_idx770_original.png,panels/busi_malignant_idx770_occluded.png,panels/busi_malignant_idx770_where.png
BUSI,malignant,2,malignant (178).png,spiculated margins,0.0791,0.0791,-0.0000,0.0000,FAIL,Malignant,malignant,1.9913,1.9980,blur,busi_malignant_idx629_FAIL.png,panels/busi_malignant_idx629_original.png,panels/busi_malignant_idx629_occluded.png,panels/busi_malignant_idx629_where.png
BUSI,malignant,2,malignant (144).png,spiculated margins,0.0790,0.0790,0.0001,0.0000,PASS,Malignant,malignant,1.9796,2.0170,blur,busi_malignant_idx605_PASS.png,panels/busi_malignant_idx605_original.png,panels/busi_malignant_idx605_occluded.png,panels/busi_malignant_idx605_where.png
BUSI,malignant,2,malignant (39).png,spiculated margins,0.0790,0.0785,0.0005,0.0000,PASS,Malignant,malignant,1.9743,2.0380,blur,busi_malignant_idx610_PASS.png,panels/busi_malignant_idx610_original.png,panels/busi_malignant_idx610_occluded.png,panels/busi_malignant_idx610_where.png
BUSI,malignant,2,malignant (172).png,spiculated margins,0.0790,0.0786,0.0004,0.0000,PASS,Malignant,malignant,2.0003,2.0626,blur,busi_malignant_idx766_PASS.png,panels/busi_malignant_idx766_original.png,panels/busi_malignant_idx766_occluded.png,panels/busi_malignant_idx766_where.png
DR,grade0 (No DR),0,3326_left.jpeg,cotton wool spots,0.5588,0.5536,0.0052,0.0000,PASS,No DR,No DR,0.0075,0.0041,blur,dr_grade0_idx2660_PASS.png,panels/dr_grade0_idx2660_original.png,panels/dr_grade0_idx2660_occluded.png,panels/dr_grade0_idx2660_where.png
DR,grade0 (No DR),0,7225_right.jpeg,cotton wool spots,0.5547,0.5566,-0.0019,0.0019,FAIL,No DR,No DR,0.0088,0.0017,blur,dr_grade0_idx5735_FAIL.png,panels/dr_grade0_idx5735_original.png,panels/dr_grade0_idx5735_occluded.png,panels/dr_grade0_idx5735_where.png
DR,grade0 (No DR),0,16080_left.jpeg,cotton wool spots,0.5591,0.5508,0.0082,0.0000,PASS,No DR,No DR,0.0033,0.0026,blur,dr_grade0_idx12810_PASS.png,panels/dr_grade0_idx12810_original.png,panels/dr_grade0_idx12810_occluded.png,panels/dr_grade0_idx12810_where.png
DR,grade0 (No DR),0,5968_left.jpeg,cotton wool spots,0.5582,0.5603,-0.0022,0.0022,FAIL,No DR,No DR,0.0062,0.0062,blur,dr_grade0_idx4758_FAIL.png,panels/dr_grade0_idx4758_original.png,panels/dr_grade0_idx4758_occluded.png,panels/dr_grade0_idx4758_where.png
DR,grade0 (No DR),0,25609_right.jpeg,cotton wool spots,0.5585,0.5575,0.0010,0.0000,PASS,No DR,No DR,-0.0012,0.0026,blur,dr_grade0_idx20305_PASS.png,panels/dr_grade0_idx20305_original.png,panels/dr_grade0_idx20305_occluded.png,panels/dr_grade0_idx20305_where.png
DR,grade1 (Mild NPDR),1,18185_left.jpeg,hard exudates,0.5693,0.3253,0.2439,0.0000,PASS,Moderate NPDR,No DR,1.9809,0.0063,blur,dr_grade1_idx14498_PASS.png,panels/dr_grade1_idx14498_original.png,panels/dr_grade1_idx14498_occluded.png,panels/dr_grade1_idx14498_where.png
DR,grade1 (Mild NPDR),1,18405_right.jpeg,cotton wool spots,0.5569,0.5561,0.0008,0.0000,PASS,No DR,No DR,0.0064,0.0078,blur,dr_grade1_idx14679_PASS.png,panels/dr_grade1_idx14679_original.png,panels/dr_grade1_idx14679_occluded.png,panels/dr_grade1_idx14679_where.png
DR,grade1 (Mild NPDR),1,27304_right.jpeg,cotton wool spots,0.7646,0.5564,0.2082,0.0000,PASS,Mild NPDR,No DR,1.2827,0.0020,blur,dr_grade1_idx21687_PASS.png,panels/dr_grade1_idx21687_original.png,panels/dr_grade1_idx21687_occluded.png,panels/dr_grade1_idx21687_where.png
DR,grade1 (Mild NPDR),1,22360_left.jpeg,microaneurysms,0.1116,0.4163,-0.3047,0.3047,FAIL,Mild NPDR,No DR,0.9973,0.4253,blur,dr_grade1_idx17754_FAIL.png,panels/dr_grade1_idx17754_original.png,panels/dr_grade1_idx17754_occluded.png,panels/dr_grade1_idx17754_where.png
DR,grade1 (Mild NPDR),1,39111_left.jpeg,microaneurysms,0.1056,0.1426,-0.0370,0.0370,FAIL,Mild NPDR,Mild NPDR,0.9977,0.9908,blur,dr_grade1_idx30944_FAIL.png,panels/dr_grade1_idx30944_original.png,panels/dr_grade1_idx30944_occluded.png,panels/dr_grade1_idx30944_where.png
DR,grade2 (Moderate NPDR),2,35283_right.jpeg,hard exudates,0.5673,0.3913,0.1760,0.0000,PASS,Moderate NPDR,No DR,1.9999,0.0190,blur,dr_grade2_idx27855_PASS.png,panels/dr_grade2_idx27855_original.png,panels/dr_grade2_idx27855_occluded.png,panels/dr_grade2_idx27855_where.png
DR,grade2 (Moderate NPDR),2,32284_right.jpeg,hard exudates,0.5674,0.5717,-0.0044,0.0044,FAIL,Moderate NPDR,Moderate NPDR,1.9934,1.9926,blur,dr_grade2_idx25525_FAIL.png,panels/dr_grade2_idx25525_original.png,panels/dr_grade2_idx25525_occluded.png,panels/dr_grade2_idx25525_where.png
DR,grade2 (Moderate NPDR),2,41796_left.jpeg,hard exudates,0.5715,0.3280,0.2435,0.0000,PASS,Moderate NPDR,No DR,1.9993,0.0088,blur,dr_grade2_idx33088_PASS.png,panels/dr_grade2_idx33088_original.png,panels/dr_grade2_idx33088_occluded.png,panels/dr_grade2_idx33088_where.png
DR,grade2 (Moderate NPDR),2,25784_left.jpeg,hard exudates,0.5665,0.3128,0.2537,0.0000,PASS,Moderate NPDR,No DR,1.9887,0.0061,blur,dr_grade2_idx20446_PASS.png,panels/dr_grade2_idx20446_original.png,panels/dr_grade2_idx20446_occluded.png,panels/dr_grade2_idx20446_where.png
DR,grade2 (Moderate NPDR),2,155_right.jpeg,hard exudates,0.5667,0.3323,0.2345,0.0000,PASS,Moderate NPDR,No DR,1.9878,-0.0007,blur,dr_grade2_idx123_PASS.png,panels/dr_grade2_idx123_original.png,panels/dr_grade2_idx123_occluded.png,panels/dr_grade2_idx123_where.png
DR,grade3 (Severe NPDR),3,35378_left.jpeg,dot and blot hemorrhages,-0.3118,-0.3117,-0.0002,0.0002,FAIL,Severe NPDR,Severe NPDR,2.9984,2.9979,blur,dr_grade3_idx27932_FAIL.png,panels/dr_grade3_idx27932_original.png,panels/dr_grade3_idx27932_occluded.png,panels/dr_grade3_idx27932_where.png
DR,grade3 (Severe NPDR),3,679_left.jpeg,dot and blot hemorrhages,-0.3137,-0.3124,-0.0013,0.0013,FAIL,Severe NPDR,Severe NPDR,3.0001,2.9996,blur,dr_grade3_idx556_FAIL.png,panels/dr_grade3_idx556_original.png,panels/dr_grade3_idx556_occluded.png,panels/dr_grade3_idx556_where.png
DR,grade3 (Severe NPDR),3,28369_right.jpeg,dot and blot hemorrhages,-0.3130,-0.3127,-0.0003,0.0003,FAIL,Severe NPDR,Severe NPDR,2.9956,2.9964,blur,dr_grade3_idx22493_FAIL.png,panels/dr_grade3_idx22493_original.png,panels/dr_grade3_idx22493_occluded.png,panels/dr_grade3_idx22493_where.png
DR,grade3 (Severe NPDR),3,34673_right.jpeg,dot and blot hemorrhages,-0.3112,-0.3122,0.0010,0.0000,PASS,Severe NPDR,Severe NPDR,2.9991,2.9983,blur,dr_grade3_idx27391_PASS.png,panels/dr_grade3_idx27391_original.png,panels/dr_grade3_idx27391_occluded.png,panels/dr_grade3_idx27391_where.png
DR,grade3 (Severe NPDR),3,32821_left.jpeg,dot and blot hemorrhages,-0.3117,-0.3095,-0.0023,0.0023,FAIL,Severe NPDR,Severe NPDR,2.9965,2.9976,blur,dr_grade3_idx25938_FAIL.png,panels/dr_grade3_idx25938_original.png,panels/dr_grade3_idx25938_occluded.png,panels/dr_grade3_idx25938_where.png
DR,grade4 (PDR),4,28976_right.jpeg,preretinal hemorrhage,-0.2034,-0.2036,0.0001,0.0000,PASS,PDR,PDR,4.0100,4.0090,blur,dr_grade4_idx22933_PASS.png,panels/dr_grade4_idx22933_original.png,panels/dr_grade4_idx22933_occluded.png,panels/dr_grade4_idx22933_where.png
DR,grade4 (PDR),4,43199_right.jpeg,preretinal hemorrhage,-0.2033,-0.2032,-0.0000,0.0000,FAIL,PDR,PDR,4.0058,4.0060,blur,dr_grade4_idx34179_FAIL.png,panels/dr_grade4_idx34179_original.png,panels/dr_grade4_idx34179_occluded.png,panels/dr_grade4_idx34179_where.png
DR,grade4 (PDR),4,4793_left.jpeg,preretinal hemorrhage,-0.2029,-0.2029,-0.0000,0.0000,FAIL,PDR,PDR,4.0038,4.0050,blur,dr_grade4_idx3820_FAIL.png,panels/dr_grade4_idx3820_original.png,panels/dr_grade4_idx3820_occluded.png,panels/dr_grade4_idx3820_where.png
DR,grade4 (PDR),4,24472_left.jpeg,preretinal hemorrhage,-0.2028,-0.2028,0.0000,0.0000,PASS,PDR,PDR,4.0057,4.0066,blur,dr_grade4_idx19390_PASS.png,panels/dr_grade4_idx19390_original.png,panels/dr_grade4_idx19390_occluded.png,panels/dr_grade4_idx19390_where.png
DR,grade4 (PDR),4,4688_right.jpeg,preretinal hemorrhage,-0.2028,-0.2027,-0.0001,0.0001,FAIL,PDR,PDR,4.0083,4.0109,blur,dr_grade4_idx3731_FAIL.png,panels/dr_grade4_idx3731_original.png,panels/dr_grade4_idx3731_occluded.png,panels/dr_grade4_idx3731_where.png
